Question,Qwen-32B,GPT-OSS-20B,Mistral-7B,Qwen2.5-7B,Nemo-12B★
What is the difference between a stock and a bond?...,34,36,26,30,22
How does compound interest work and why is it impo...,32,34,21,25,29
What is a P/E ratio and how is it used in stock va...,34,4,24,28,33
Explain the concept of diversification in investin...,34,34,22,26,30
What is inflation and how does it affect purchasin...,32,34,23,19,29
What is the difference between a bull market and a...,34,35,22,26,31
How do central banks use interest rates to control...,32,22,17,25,30
What is dollar-cost averaging and what are its ben...,32,35,23,27,32
Explain what an ETF is and how it differs from a m...,34,32,22,26,18
What is the role of the Federal Reserve in the US ...,34,29,23,19,36
What is a balance sheet and what does it tell inve...,35,30,22,26,32
How does quantitative easing work?...,32,34,21,25,36
What is the difference between gross profit and ne...,32,33,23,31,36
What is a credit score and what factors affect it?...,32,4,33,28,33
Explain the concept of short selling in the stock ...,32,34,27,30,35
What is a hedge fund and how does it differ from a...,32,34,26,30,22
What is liquidity risk in financial markets?...,34,30,21,25,29
How do options contracts work in financial markets...,32,27,22,18,35
What is the yield curve and what does an inverted ...,34,4,24,28,33
What is the difference between fiscal policy and m...,34,4,24,28,33
